BehaviorSpace results (NetLogo 3D 5.0.4),,,,,,,,,,,,,
/home/ouit-modelling4all/kkahn/models/k-62-updating-experiments.nlogo3d,,,,,,,,,,,,,
Experiments with Kepler-62 adjusting only the Mean-anomaly,,,,,,,,,,,,,
09/12/2013 09:33:09:722 +0100,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,
-50,50,-50,50,,,,,,,,,,
[run number],e-mean-anomaly,b-mean-anomaly,d-mean-anomaly,f-mean-anomaly,c-mean-anomaly,[step],[my-orbits-length] of the-kepler-62-b,[my-orbits-length] of the-kepler-62-c,[my-orbits-length] of the-kepler-62-d,[my-orbits-length] of the-kepler-62-e,[my-orbits-length] of the-kepler-62-f,(orbits-ok),(years-ok)
14,120,125,300,90,200,256087,[493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 494280],[1075320 1075500 1075320 1075140 1075320 1075320 1075320 1075320 1075140 1075320 1075140 1074960 1075320 1074960 1075500 1075500 1075320 1075500 1075500 1075680 1075500 1075500 1075320 1075500 1075320 1075140 1075320 1075320 1075320 1075320 1075140 1075320 1075320 1074960 1075140 1074960 1075320 1075320 1075320 1075500 1075500 1075860],[1578780 1579680 1578780 1579500 1578420 1579860 1578420 1579860 1578600 1579320 1578780 1579320 1578780 1579140 1579320 1578960 1579680 1578780 1579320 1578600 1579680 1578600 1579860 1578600 1579320 1578780 1579320 1578780 1579320],[10795140 11321460 10395180 11080800],[23042160 23053500],"""orbits-ok""","""Kepler-62 e"""
1,120,125,115,117,123,256879,[493920 494100 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 494100 493920 493920 494100 493920 494280],[1075500 1075500 1075500 1075680 1075860 1075860 1075680 1075860 1075860 1075860 1075680 1075680 1075680 1075680 1075500 1075680 1075500 1075680 1075500 1075500 1075680 1075320 1075500 1075320 1075500 1075500 1075860 1075680 1075680 1076040 1075680 1075860 1075680 1075860 1075680 1075500 1075500 1075680 1075500 1075680 1075680 1075680],[1578960 1578240 1579320 1578060 1579320 1578060 1579320 1578240 1579140 1578600 1578960 1578780 1578600 1579140 1578600 1578960 1578600 1579140 1578060 1579320 1578060 1579320 1578060 1579500 1578420 1578960 1578600 1578780 1579320],[10313280 11257380 10584720 10544040],[23115240 23122980],"""orbits-ok""","""Kepler-62 e"""
7,120,125,115,30,123,256624,[493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 494100 493920 493920 494100 493920 494280],[1075500 1075500 1075500 1075680 1075860 1075680 1075860 1075860 1075860 1075860 1075680 1075680 1075680 1075680 1075500 1075680 1075500 1075680 1075500 1075500 1075680 1075320 1075320 1075500 1075500 1075500 1075860 1075680 1075680 1076040 1075680 1075860 1075680 1075860 1075680 1075500 1075500 1075680 1075500 1075680 1075680 1075680],[1578960 1578240 1579140 1578060 1579320 1578060 1579320 1578420 1579140 1578420 1578960 1578780 1578780 1579140 1578600 1578960 1578420 1579140 1578060 1579320 1578060 1579320 1578240 1579320 1578420 1578960 1578780 1578780 1579320],[10164600 10024920 10567260 9630000],[23122980 23069340],"""orbits-ok""","""Kepler-62 e"""
6,120,125,115,90,180,256066,[493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 494100 493920 493920 494100 493920 494280],[1075500 1075500 1075500 1075680 1075860 1075860 1075680 1075860 1075860 1075860 1075680 1075680 1075680 1075680 1075500 1075680 1075500 1075680 1075500 1075500 1075680 1075320 1075320 1075500 1075500 1075500 1075860 1075680 1075680 1076040 1075680 1075860 1075680 1075860 1075680 1075500 1075500 1075680 1075500 1075680 1075680 1075680],[1578960 1578240 1579320 1578060 1579320 1577880 1579500 1578240 1579140 1578600 1578960 1578600 1578780 1579140 1578600 1579140 1578420 1579140 1578060 1579320 1577880 1579500 1578240 1579320 1578420 1578960 1578600 1578780 1579320],[10790820 11259720 10400400 11057940],[23039460 23052420],"""orbits-ok""","""Kepler-62 e"""
4,120,125,115,90,123,256066,[493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 494100 493920 493920 494100 493920 494280],[1075500 1075500 1075500 1075680 1075860 1075860 1075680 1075860 1075860 1075860 1075680 1075680 1075680 1075680 1075500 1075680 1075500 1075680 1075500 1075500 1075680 1075320 1075320 1075500 1075500 1075500 1075860 1075680 1075680 1076040 1075680 1075860 1075680 1075860 1075680 1075500 1075500 1075680 1075500 1075680 1075680 1075680],[1578960 1578240 1579320 1578060 1579320 1577880 1579500 1578240 1579140 1578600 1578960 1578600 1578780 1579140 1578600 1579140 1578420 1579140 1578060 1579320 1577880 1579500 1578240 1579320 1578420 1578960 1578600 1578780 1579320],[10790820 11259720 10400400 11057940],[23039460 23052420],"""orbits-ok""","""Kepler-62 e"""
13,120,125,300,90,123,256087,[493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 494280],[1075320 1075500 1075320 1075140 1075320 1075320 1075320 1075320 1075140 1075320 1075140 1074960 1075320 1074960 1075500 1075500 1075320 1075500 1075500 1075680 1075500 1075500 1075320 1075500 1075320 1075140 1075320 1075320 1075320 1075320 1075140 1075320 1075320 1074960 1075140 1074960 1075320 1075320 1075320 1075500 1075500 1075860],[1578780 1579680 1578780 1579500 1578420 1579860 1578420 1579860 1578600 1579320 1578780 1579320 1578780 1579140 1579320 1578960 1579680 1578780 1579320 1578600 1579680 1578600 1579860 1578600 1579320 1578780 1579320 1578780 1579320],[10795140 11321460 10395180 11080800],[23042160 23053500],"""orbits-ok""","""Kepler-62 e"""
15,120,125,300,90,180,256087,[493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 494280],[1075320 1075500 1075320 1075140 1075320 1075320 1075320 1075320 1075140 1075320 1075140 1074960 1075320 1074960 1075500 1075500 1075320 1075500 1075500 1075680 1075500 1075500 1075320 1075500 1075320 1075140 1075320 1075320 1075320 1075320 1075140 1075320 1075320 1074960 1075140 1074960 1075320 1075320 1075320 1075500 1075500 1075860],[1578780 1579680 1578780 1579500 1578420 1579860 1578420 1579860 1578600 1579320 1578780 1579320 1578780 1579140 1579320 1578960 1579680 1578780 1579320 1578600 1579680 1578600 1579860 1578600 1579320 1578780 1579320 1578780 1579320],[10795140 11321460 10395180 11080800],[23042160 23053500],"""orbits-ok""","""Kepler-62 e"""
12,120,125,300,117,180,256778,[493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 494280],[1075320 1075500 1075320 1075140 1075320 1075320 1075320 1075320 1075140 1075320 1075140 1074960 1075320 1074960 1075500 1075500 1075320 1075500 1075500 1075680 1075500 1075500 1075320 1075500 1075320 1075140 1075320 1075320 1075320 1075320 1075140 1075320 1075320 1074960 1075140 1074960 1075320 1075320 1075320 1075500 1075500 1075860],[1578780 1579680 1578600 1579680 1578420 1579860 1578420 1579680 1578600 1579500 1578780 1579320 1578960 1578960 1579320 1578780 1579860 1578600 1579680 1578420 1579680 1578420 1580040 1578600 1579320 1578780 1579320 1578780 1579320],[10305180 11304720 10569420 10546200],[23104800 23115240],"""orbits-ok""","""Kepler-62 e"""
17,120,125,300,30,200,256864,[493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 494280],[1075320 1075500 1075140 1075320 1075320 1075320 1075320 1075320 1075140 1075320 1075140 1074960 1075320 1074960 1075320 1075500 1075500 1075500 1075500 1075680 1075320 1075500 1075500 1075500 1075140 1075320 1075320 1075320 1075320 1075320 1075140 1075320 1075320 1074960 1075140 1074960 1075320 1075320 1075320 1075500 1075500 1075860],[1578780 1579680 1578420 1579680 1578420 1579860 1578600 1579680 1578600 1579320 1578780 1579140 1579140 1578960 1579500 1578780 1579680 1578600 1579500 1578600 1579860 1578420 1579860 1578600 1579320 1578780 1579320 1578780 1579500],[10183140 9991800 10573020 9594540],[23149620 23085900],"""orbits-ok""","""Kepler-62 e"""
19,120,125,330,117,123,256772,[493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 493920 493920 494100 493920 493920 494100 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494280],[1075680 1075680 1075680 1075680 1075680 1075500 1075500 1075500 1075500 1075320 1075500 1075500 1075320 1075500 1075320 1075320 1075320 1075320 1075140 1075320 1075500 1075500 1075500 1075680 1075680 1075680 1075680 1075680 1075500 1075500 1075500 1075320 1075500 1075500 1075320 1075500 1075320 1075500 1075320 1075140 1075140 1075500],[1578780 1578960 1578600 1578960 1578780 1578960 1578960 1578960 1578780 1578960 1578960 1578960 1579140 1578960 1578960 1578780 1578780 1578780 1578960 1578780 1578960 1578780 1578960 1578780 1579140 1578780 1579140 1578960 1579320],[10292400 11313180 10569240 10549980],[23103360 23115600],"""orbits-ok""","""Kepler-62 e"""
28,120,150,115,117,123,256879,[493920 494100 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 494100 493920 493920 494100 493920 494280],[1075500 1075500 1075500 1075680 1075860 1075860 1075680 1075860 1075860 1075860 1075680 1075680 1075680 1075680 1075500 1075680 1075500 1075680 1075500 1075500 1075680 1075320 1075500 1075320 1075500 1075500 1075860 1075680 1075680 1076040 1075680 1075860 1075680 1075860 1075680 1075500 1075500 1075680 1075500 1075680 1075680 1075680],[1578960 1578240 1579320 1578060 1579320 1578060 1579320 1578240 1579140 1578600 1578960 1578780 1578600 1579140 1578600 1578960 1578600 1579140 1578060 1579320 1578060 1579320 1578060 1579500 1578420 1578960 1578600 1578780 1579320],[10313280 11257380 10584720 10544040],[23115240 23122980],"""orbits-ok""","""Kepler-62 e"""
18,120,125,300,30,180,256864,[493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 494280],[1075320 1075500 1075140 1075320 1075320 1075320 1075320 1075320 1075140 1075320 1075140 1074960 1075320 1074960 1075320 1075500 1075500 1075500 1075500 1075680 1075320 1075500 1075500 1075500 1075140 1075320 1075320 1075320 1075320 1075320 1075140 1075320 1075320 1074960 1075140 1074960 1075320 1075320 1075320 1075500 1075500 1075860],[1578780 1579680 1578420 1579680 1578420 1579860 1578600 1579680 1578600 1579320 1578780 1579140 1579140 1578960 1579500 1578780 1579680 1578600 1579500 1578600 1579860 1578420 1579860 1578600 1579320 1578780 1579320 1578780 1579500],[10183140 9991800 10573020 9594540],[23149620 23085900],"""orbits-ok""","""Kepler-62 e"""
29,120,150,115,117,200,256879,[493920 494100 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 494100 493920 494100 493920 493920 494100 493920 493920 494100 493920 494100 493920 494100 493920 493920 494100 493920 494100 493920 494100 493920 493920 494100 493920 494280],[1075500 1075500 1075500 1075680 1075860 1075860 1075680 1075860 1075860 1075860 1075680 1075680 1075680 1075680 1075500 1075680 1075500 1075680 1075500 1075500 1075680 1075320 1075500 1075320 1075500 1075500 1075860 1075680 1075680 1076040 1075680 1075860 1075680 1075860 1075680 1075500 1075500 1075680 1075500 1075680 1075680 1075680],[1578960 1578240 1579320 1578060 1579320 1578060 1579320 1578240 1579140 1578600 1578960 1578780 1578600 1579140 1578600 1578960 1578600 1579140 1578060 1579320 1578060 1579320 1578060 1579500 1578420 1578960 1578600 1578780 1579320],[10313280 11257380 10584720 10544040],[23115240 23122980],"""orbits-ok""","""Kepler-62 e"""
